Registration Number,Association Name,State,Cancellation Type,Cancellation Year
136550432,ABHINAV BAHARAT FOUNDATION,Uttar Pradesh,On Violation,2019
206120004,Prabaha Dhalai,Tripura,On Violation,2019
206150035,EVANGELICAL SYNOD SOCIETY(ESS),Tripura,On Violation,2019
206130003,Blind and Handicapped Association,Tripura,On Violation,2019
368140020,YOGASARAS EDUCATIONAL ACADEMY,Telangana,On Violation,2019
368140058,YAWAR EDUCATIONAL AND CHARITABLE SOCIETY,Telangana,On Violation,2019
10250086,Wwlfare Organisation For Rural Development,Telangana,On Violation,2019
368130016,VOLUNTARY ASSOCIATION FOR RESOURCE DEVELOPMENT,Telangana,On Violation,2019
368190003,VIVEKANANDA RURAL AND URBAN DEVELOPMENT ASSOCIATION,Telangana,On Violation,2019
368140005,VISION TO SERVE MINISTRIES,Telangana,On Violation,2019
10360168,VERMA FOUNDATION WELFARE SOCIETY,Telangana,On Violation,2019
368130012,VATSALYAM VOLUNTARY ORGANISATION,Telangana,On Violation,2019
368210006,VASAM SRINIVAS MEMORIAL CHARITABLE TRUST,Telangana,On Violation,2019
10230558,United Grace Mission,Telangana,On Violation,2019
10230761,UNITED GRACE MINISTRIES,Telangana,On Violation,2019
10300110,THE LIVING GOD BAPTIST CHURCH,Telangana,On Violation,2019
368130022,TALENTED ASPIRANTS PEOPLES ACTION TO THE SOCIETY FOR VIGOROUS INDIA,Telangana,On Violation,2019
10290043,SWAYAMSEVA ASSOCIATION FOR PARENTS OF RURAL CHILDREN WITH MENTAL HANDICAPS,Telangana,On Violation,2019
368130024,SUDHARSHAN REHABILITATION SOCIETY,Telangana,On Violation,2019
10220068,St.Pauls Educational Academy,Telangana,On Violation,2019
10230611,St. Paul's Development Society,Telangana,On Violation,2019
368190001,SRI VENKATESHWARA CONTROL BLINDNESS SERVICE SOCIETY,Telangana,On Violation,2019
10230889,SRI SRINIVASA CHARITABLE TRUST,Telangana,On Violation,2019
10220195,Sri Sai Educational Society,Telangana,On Violation,2019
368130029,SRI RAMANUJA SAHASRABDI,Telangana,On Violation,2019
10290033,SPACE(A Rural Development Society),Telangana,On Violation,2019
10290019,Society for Women's Awareness and Rural Development,Telangana,On Violation,2019
10280047,Society for Integration and Rural Development,Telangana,On Violation,2019
10320026,Society for Integrated Development Services,Telangana,On Violation,2019
10300064,"Society for Humancare, Agriculture and Rehabilitation for Rural People",Telangana,On Violation,2019
10360143,SNEHAS WOMEN ASSOCIATION FOR WEAKER SECTION,Telangana,On Violation,2019
147110306,Kantalberia Sri Ramakrishna Ashram Trust,West Bengal,On Violation,2019
147110311,Kankjol Pally Unnayan Samity,West Bengal,On Violation,2019
147110832,KALAKIRTI,West Bengal,On Violation,2019
147121032,JOYJEET DAS MEMORIAL FOUNDATION AND EDUCATIONAL TRUST,West Bengal,On Violation,2019
147111036,Jhawdari Srijoni,West Bengal,On Violation,2019
147040622,JHARGRAM LIONS MODEL SCHOOL A PROJECT OF LIONS CLUB OF JHARGRAM,West Bengal,On Violation,2019
147120967,JAMIA QASIMUL ULOOM,West Bengal,On Violation,2019
147120796,Institute of Pulmocare and Research,West Bengal,On Violation,2019
147110782,Ideal Educational Complex Trust,West Bengal,On Violation,2019
147060118,Hogalbaria Village Welfare Society,West Bengal,On Violation,2019
147040478,Hizli Citizen Welfare Association,West Bengal,On Violation,2019
146980027,Himalayan Free Church,West Bengal,On Violation,2019
147000165,Hilful Feazal Education Society,West Bengal,On Violation,2019
147121025,HEALTH ENERGY AND REHABILITATION TRUST,West Bengal,On Violation,2019
147120742,Harvest Today,West Bengal,On Violation,2019
146930069,HARPALSA JUNIOR MADRASAH MAZMAUL BAHARAIN ABTABE REJA,West Bengal,On Violation,2019
147110221,Harishpur Palli Unnayan Samity,West Bengal,On Violation,2019
147030060,Harishchandrapur Pally Unnayan Samity,West Bengal,On Violation,2019
147110765,Haripur Women Help Society,West Bengal,On Violation,2019
147110995,Hariharpur Relief Society,West Bengal,On Violation,2019
147040320,Harasankarpur Shiva Sakti Unnayan Sangha,West Bengal,On Violation,2019
147110139,Gramin Shilpa Unnayan Sangstha,West Bengal,On Violation,2019
147110341,Global Society For Rural & Urban Devpt.,West Bengal,On Violation,2019
147120925,Global India Foundation,West Bengal,On Violation,2019
147040334,Ghatal Missionary Baptist Fellowhip,West Bengal,On Violation,2019
147110866,Garia Sarada Home For Women And Children Welfare,West Bengal,On Violation,2019
147120721,"Garden Reach Women,s Committee",West Bengal,On Violation,2019
147110698,Ganadevi Sevashram,West Bengal,On Violation,2019
147060095,Feedback Palli Unnayan Sanstha,West Bengal,On Violation,2019
147060101,Fatepur Ambedkar Pally Unnayan Samity,West Bengal,On Violation,2019
147121058,Educational Support Centre,West Bengal,On Violation,2019
147120917,Earth Care,West Bengal,On Violation,2019
147040185,Dwan Sun Club,West Bengal,On Violation,2019
147111042,DURBAR SWECHCHASEBI BAHINI,West Bengal,On Violation,2019
147110575,Dunlop Women Association For Social Action,West Bengal,On Violation,2019
147000237,DREAMS OF THE CENTURY,West Bengal,On Violation,2019
147111020,Dr. Prasanta Banerji Homeopathic Research Foundation,West Bengal,On Violation,2019
147111140,DR B R AMBEDKAR WELFARE TRUST CHOWHATI,West Bengal,On Violation,2019
147111083,DONGARIA PRATIBANDHEE MANAB KALYAN SEVASHRAM,West Bengal,On Violation,2019
147050004,Don Bosco Welfare Centre,West Bengal,On Violation,2019
147060003,Don Bosco High & Technical School,West Bengal,On Violation,2019
147000018,Don Bosco Children,West Bengal,On Violation,2019
147120542,Divine Social Welfare Society,West Bengal,On Violation,2019
147120557,Divine Disha Children Devlopment Society,West Bengal,On Violation,2019
147110713,Disha Education Society,West Bengal,On Violation,2019
147111157,DIAMOND HARBOUR GLOBAL EDUCATIONAL INSTITUTE,West Bengal,On Violation,2019
147110504,Dhola Unnayani Samity,West Bengal,On Violation,2019
147110747,Debopam Ashram and Research Center,West Bengal,On Violation,2019
147000011,Dakshin Chandchak Samaj Kalyan Samity,West Bengal,On Violation,2019
147120497,Cosmos,West Bengal,On Violation,2019
147030072,CHARAKTALA HUMAN RESOURCE DEVELOPMENT SOCIETY,West Bengal,On Violation,2019
147110771,Chanda Tarun Sangha,West Bengal,On Violation,2019
146920043,Chamtagara Adibasi Mahila Samiti,West Bengal,On Violation,2019
147050076,CHALTIA VILLAGE DEVELOPMENT CENTRE,West Bengal,On Violation,2019
147110949,CENTRE FOR ENVIRONMENTAL AND SCOIO ECONOMY RESEARCH AND DEVELOPMENT OF BARUIPUR,West Bengal,On Violation,2019
147060038,CATHOLIC CHURCH KALYANI,West Bengal,On Violation,2019
147110020,Catholic Church Bongaon,West Bengal,On Violation,2019
146930072,CARIEMA SEVA SADAN,West Bengal,On Violation,2019
147110710,Canning Sagar Sundarban Mahila Unnayan Samity,West Bengal,On Violation,2019
147120264,Bustee Welfare Centre,West Bengal,On Violation,2019
146930057,BIRBHUM BOLPUR PEOPLE LIVING WITH HIV AIDS SOCIETY,West Bengal,On Violation,2019
147060097,BIOPARIVAR,West Bengal,On Violation,2019
147120651,Bhukailash Welfare Centre,West Bengal,On Violation,2019
146990095,Bhastara Christian Centre,West Bengal,On Violation,2019
147110708,Bhanru Ramkrishnapur Mahila Kalyan Ashram,West Bengal,On Violation,2019
147110993,BHADURA RAMKRISHNA RURAL DEVELOPMENT SOCIETY,West Bengal,On Violation,2019
147050101,Berhampore Town Jesus Gospel Mission,West Bengal,On Violation,2019
147120851,Bengal Network of People Living with HIV AIDS,West Bengal,On Violation,2019
147120968,BEHALA MOTHER WELFARE SOCIETY,West Bengal,On Violation,2019
147110686,Basirhat Family Planning Welfare Centre,West Bengal,On Violation,2019
147050030,Basantapur Education Society,West Bengal,On Violation,2019
147040310,Baruipur Sardamani Mahila Samity,West Bengal,On Violation,2019
147110571,Barrackpore Sahayogi Social Welfare Society,West Bengal,On Violation,2019
147111154,BARASAT SPANDANAM,West Bengal,On Violation,2019
147111130,BARANAGAR LORD ANUKUL CHANDRA SOCIAL SERVICE ORGANISATION,West Bengal,On Violation,2019
146920074,BANKURA KATJURIDANGA DANDHAN,West Bengal,On Violation,2019
147060091,Bangaljhi Child Care Center,West Bengal,On Violation,2019
147111160,BAMANAGAR WELFARE SOCIETY,West Bengal,On Violation,2019
147040621,BAGMARI VIDYASAGAR SOCIETY FOR RURAL DEVELOPMENT,West Bengal,On Violation,2019
147111029,BAGDANGA PASCHIMGHERI BISHALAKSHMI CLUB,West Bengal,On Violation,2019
147121057,BAGBAZAR GANGATEER BHAGAVAT SABHA,West Bengal,On Violation,2019
147110751,Bagaria Kalika Sangha,West Bengal,On Violation,2019
147060061,Badkulla Luna Silk Khadi Society,West Bengal,On Violation,2019
147110407,Bade Khantura Bahumukhi Seva Kendra,West Bengal,On Violation,2019
147040179,Ayamanchak Vivekananda Sevak Sangha,West Bengal,On Violation,2019
146920065,ATHENA EDUCATIONAL SOCIAL AND CHARITABLE TRUST,West Bengal,On Violation,2019
147120944,ASHA DEEP TRUST,West Bengal,On Violation,2019
