State,Reg No,Association,Address,Nature
Andhra Pradesh,10160466,Rural Environmental Development Society,"K Ramapuram Near Chowdeswari Temple Rayachoty Kadapa, Kadapa, 516269","Religious(Buddhist) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160468,Sri Sai Chaitanya Educational Society,"Rachapalli Village, Vontimitta Mandalam, 516213","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160469,LIKKITH EDUCATIONAL AGRICULTURAL DEVELOPMENT SOCIETY,"1 868 1 YERRAMUKKAPALLI, CUDDAPAH, 516004","Educational ,Social "
Andhra Pradesh,10160470,MOTHER TERESA CHARITABLE TRUST,"NAGAMMANAGAR KUMMARAMPALLI VEMPALLI, VEMPALLI, 516329",Social 
Andhra Pradesh,10160471,RURAL ORGANISATIOINS FOR AWARENESS AND DEVELOPMENT,"1 2 KADAPA ROAD VEMPALLI, KADAPA, 516329","Economic ,Educational ,Social "
Andhra Pradesh,10160472,Das Educational and Welfare Society,"Yerramukkapalli Kadapa, Kadapa, 516004","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160473,New Life Penticostle Church,"38/3716-8 YS Jayamma Colony Buddayapalli PO Madras Road, Kadapa, 516002","Economic ,Educational ,Social "
Andhra Pradesh,10160474,SREE MAHALAKSHMI MAHILA MANDALI,"3/16-49-b, BC COLONY, kHAJIPET POST AND MANDAL KADAPA DISTRICT, 516001","Economic ,Educational ,Social "
Andhra Pradesh,10160475,AGAPE FOUNDATION,"DOOR NO 4/1370, UPSTAIRS, SRI SRI NAGAR, YERRAGUNTLA, YERRAGUNTLA, 516309","Economic ,Educational ,Social "
Andhra Pradesh,10160477,PARISHUDDATHMAPARICHARYALU GOSPEL MINISTRIES,"45 150 367 T R NAGAR C M PET BEHIND S V DEGREE COLLEGE, KADAPA, 516003","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170036,The Leprosy Mission Hospital,"Ramachandrapuram, East Godavari- Dist-533255","Religious(Christian) ,Social "
Andhra Pradesh,10170069,Leprosy Eradication Organisation,"2-5-23/1, Nr. Police Statn Samalkot, East Godavari-",Social 
Andhra Pradesh,10170073,Christian Outreach Centre,"Rayudupalem Kakinada, East Godavari-","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170076,Sarvaraya Educational Trust,"Kapileswarapura Zamindar's House, Gandhi Nagar, Kakinada-533004","Educational ,"
Andhra Pradesh,10170085,School for The Blind & Hostel,"Taravanipeta, Mandapet, Mandapeta , East Godavari Distt.-533308","Educational ,Social "
Andhra Pradesh,10170092,Prabhu Medical & Health Society for the Spastic,"74-13-22 Prakash Nagar Rajamundhry, East Godavari -","Economic ,Social "
Andhra Pradesh,10170097,Environmental Protection Society,"PB No. 9 Nagarjuna Road, Kakinada-533003","Educational ,Social "
Andhra Pradesh,10170114,Mother India International,"Uppada Kothapally, Kothapally, Distt. East Godavari-533447",Social 
Andhra Pradesh,10170117,Uma Manovikas Kendram,"Manivika Nagar, Behind RKayudupalem, Kakinada, Distt. East Godavari-",Social 
Andhra Pradesh,10170124,Sri Sai Satya Krishna Deenajana Sevasharam,"Bavajipeta Gokavaram Mandal, East Godavari Distt.-",Social 
Andhra Pradesh,10170126,Project India Compassion Trust,"Mori, East Godavari Distt.-533250","Religious(Christian) ,"
Andhra Pradesh,10170129,Augustine Childrens Home Society,"Kesavadasupalem, East Godavari Distt.-533252","Educational ,Social "
Andhra Pradesh,10170158,The Rajahmundry Church of Christ Charitable Society,"D.No.58-12-1, Rajahmundry, East Godavari-533105","Religious(Christian) ,Educational ,"
Andhra Pradesh,10170167,Juvvanapudi Andrew Educational society,"Nava Bharat Public School, Kakinada, (Opp.Janamaboomi part)Srinagar-533003","Educational ,Social "
Andhra Pradesh,10170172,Sadhuva Angel Social Service Community Development Society,"Dr. No. 75-7-19, Prakash Nagar, Rajahmundry-533103",Social 
Andhra Pradesh,10170175,St. Thomas Community Services,"3-66, Uppada, East Godavari District-533448",Social 
Andhra Pradesh,10170182,Grace and Truth Orphanage,"104, Municipal Colony, Rajahmundry-533105","Educational ,Social "
Andhra Pradesh,10170192,Hebron Church and Children's Home,"D.No.2-51-6, Shambhunagar, Rajahmundry, East Godavari-533101","Religious(Christian) ,"
Andhra Pradesh,10170202,Amen Society for Women Welfare,"Teacher's Colony, D.No.181, Ramanayapeta, APSP (PO) Kakinada-533005","Religious(Christian) ,Economic ,Social "
Andhra Pradesh,10170205,Sri Vidya Educational Society,"R.V.Lodge Complex, Korukonda-533289","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170219,Meenakshi Seva Foundation,"D.No. 2-514, Ramanayyapeta, , Kakinada, Distt: East Godavari, -533005",Social 
Andhra Pradesh,10170226,Disabled Economical and Educational Development Society,"1-70, Poultary Complex, , V.Kothuru, Tuni Mandal, -533401","Economic ,Educational ,Social "
Andhra Pradesh,10170231,NATURE,"Rajahmundry, East Godavari Andhra Pradesh, 533103","Educational ,Social "
Andhra Pradesh,10170264,Dr. K. Paul Raj Memorial Educational Society,"D.No.3-58, SBI Colony, Sarpavaram, Kakinada, 533005","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170266,ROSEHILL EVANGELICAL MISSION,"H.NO.107, MUNICIPAL COLONY. DOOR. NO. 23-7-4, RAJAHMUNDRY, 533105","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170293,International Society For Krishna Consciousness,"Hare Krishna Land Gouthami Ghat, Rajahmundry, 533101","Religious(Hindu) ,Educational ,Social "
Andhra Pradesh,10170294,SUNLIGHT EDUCATIONAL SOCIETY,"APHB COLONY - MIG 34, SRIKAKULAM, 532001","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170299,CHRIST FOR INDIA INTERIOR MINISTRIES,"KOTI, RAJAHMUNDRY, 533290","Religious(Christian) ,Social "
Andhra Pradesh,10170302,THE SUN SOCIETY,"THE SUN SOCIETY Rampachodavaram Near Bus Station, Rampachodavaram village and Mandal, 533288","Economic ,Educational ,Social "
Andhra Pradesh,10170306,AIDS GLOBAL CHILDREN MINISTRIES,"D No 1 33 Anuru, Thondangi Mandal, 533401","Educational ,Social "
Andhra Pradesh,10170307,RAKSHA RAPID ACTION KORES FOR SOCIAL AND HEALTH AWARENESS,"H NO 1 177 MAIN ROAD, RAJAVOMMANGI, 533436","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170309,CHRISTIAN LEGAL AID and WELFARE MINISTRY,"D No 36-37-11 INNISPETA, RAJAHMUNDRY, 533101","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170310,NAARI SAKSHAM MAHILA WELFARE ASSOCIATION,"4-396 NEAR FOOD GODOWNS DAWALESWARAM, RAJAHMUNDRY, 533103",Social 
Andhra Pradesh,10170311,SANTHI SOCIO ECONOMIC WELFARE SOCIETY,"1-7, KORUKONDA, BESIDE RTC COMPLEX, OPP RELIANCE TOWER, KORUKONDA, 533289","Economic ,Educational ,Social "
Andhra Pradesh,10170312,Christian Reflection Ministries,"9 143 SC Colony Rowthulapudi, Tuni, 533446","Religious(Christian) ,Economic ,Educational ,Social "
Andhra Pradesh,10170313,NAZARETH EDUCATIONAL SOCIETY,"H NO 10-33 JYOTHI NAGAR S ANNAVARAM, TUNI, 533401","Educational ,Social "
Andhra Pradesh,10170314,HEAVEN IMAGE SOWERS MINISTRIES His Ministries,"No 11-145, MPPP School Street, Jaggampeta, East Godavari, 533435","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170315,Heart to Heart Welfare Association,"D.No 2 191, Rajapudi, Jaggampeta Kakinada, East Godavari, 533435","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170316,BETHANY ASSOCIATION FOR SOCIAL EMPOWERMENT,"5 342 1 NETHAJI NAGAR 3RD STREET, RAJAHMUNDRY, 533101","Economic ,Educational ,Social "
Andhra Pradesh,10170317,AMAZING GRACE ASSOCIATION FOR SOCIAL ENLIGHTENMENT,"CHINTHALURU Via SANKHAVARAM, EAST GODAVARI, 533446","Religious(Christian) ,Educational ,Social "
Andhra Pradesh,10170318,Dr.B.R.Ambedkar Educational and Charitable Organization,"19-539/1, Dowlaiswaram, Rajahmundry Rural, 533125","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170319,SADHANA WELFARE ASSOCIATION,"80-23-10/3 2ND STREET, JAYA SHREE GARDENS, RAJAHMUNDRY, 533103","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170320,Madhunapantula Foundation,"D No 1-123 Pallipalem Kajuluru Mandal East Godavari, East Godavari, 533164","Educational ,Social "
Andhra Pradesh,10170321,USHODAYA MAHILA SANKSHEMA MANDALI,"D No 24-8-135/39, Kacheripeta, Kakinda, E G District, Kakinada, 533004","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10170323,GIFT OF LIVING GOD MINISTRIES,"3-5-29/1, PERAMMA AGRAHARAM, KNF ROAD, , AMALAPURAM, 533201","Religious(Christian) ,Economic ,Educational ,Social "
